s (1,1) 9
(150,17) (150,18) 169
(1,18) (1,19) 119
(2,18) (2,19) 117
(3,18) (3,19) 1
(4,18) (4,19) 40
(5,18) (5,19) 94
(6,18) (6,19) 19
(7,18) (7,19) 47
(8,18) (8,19) 178
(9,18) (9,19) 121
(10,18) (10,19) 161
(11,18) (11,19) 25
(12,18) (12,19) 89
(13,18) (13,19) 144
(14,18) (14,19) 10
(15,18) (15,19) 62
(16,18) (16,19) 176
(17,18) (17,19) 140
(18,18) (18,19) 58
(19,18) (19,19) 30
(20,18) (20,19) 55
(21,18) (21,19) 177
(22,18) (22,19) 81
(23,18) (23,19) 143
(24,18) (24,19) 113
(25,18) (25,19) 1
(26,18) (26,19) 77
(27,18) (27,19) 27
(28,18) (28,19) 187
(29,18) (29,19) 14
(30,18) (30,19) 160
(31,18) (31,19) 110
(32,18) (32,19) 196
(33,18) (33,19) 71
(34,18) (34,19) 19
(35,18) (35,19) 147
(36,18) (36,19) 132
(37,18) (37,19) 76
(38,18) (38,19) 110
(39,18) (39,19) 53
(40,18) (40,19) 162
(41,18) (41,19) 117
(42,18) (42,19) 181
(43,18) (43,19) 75
(44,18) (44,19) 125
(45,18) (45,19) 28
(46,18) (46,19) 128
(47,18) (47,19) 93
(48,18) (48,19) 151
(49,18) (49,19) 179
(50,18) (50,19) 191
(51,18) (51,19) 19
(52,18) (52,19) 121
(53,18) (53,19) 64
(54,18) (54,19) 128
(55,18) (55,19) 117
(56,18) (56,19) 151
(57,18) (57,19) 45
(58,18) (58,19) 71
(59,18) (59,19) 133
(60,18) (60,19) 138
(61,18) (61,19) 139
(62,18) (62,19) 144
(63,18) (63,19) 97
(64,18) (64,19) 67
(65,18) (65,19) 63
(66,18) (66,19) 156
(67,18) (67,19) 116
(68,18) (68,19) 2
(69,18) (69,19) 37
(70,18) (70,19) 190
(71,18) (71,19) 116
(72,18) (72,19) 148
(73,18) (73,19) 1
(74,18) (74,19) 121
(75,18) (75,19) 78
(76,18) (76,19) 26
(77,18) (77,19) 100
(78,18) (78,19) 104
(79,18) (79,19) 117
(80,18) (80,19) 52
(81,18) (81,19) 155
(82,18) (82,19) 1
(83,18) (83,19) 114
(84,18) (84,19) 25
(85,18) (85,19) 124
(86,18) (86,19) 191
(87,18) (87,19) 54
(88,18) (88,19) 161
(89,18) (89,19) 186
(90,18) (90,19) 170
(91,18) (91,19) 26
(92,18) (92,19) 106
(93,18) (93,19) 104
(94,18) (94,19) 29
(95,18) (95,19) 23
(96,18) (96,19) 68
(97,18) (97,19) 113
(98,18) (98,19) 92
(99,18) (99,19) 138
(100,18) (100,19) 49
(101,18) (101,19) 85
(102,18) (102,19) 184
(103,18) (103,19) 23
(104,18) (104,19) 51
(105,18) (105,19) 72
(106,18) (106,19) 57
(107,18) (107,19) 190
(108,18) (108,19) 196
(109,18) (109,19) 197
(110,18) (110,19) 71
(111,18) (111,19) 3
(112,18) (112,19) 132
(113,18) (113,19) 168
(114,18) (114,19) 68
(115,18) (115,19) 127
(116,18) (116,19) 19
(117,18) (117,19) 97
(118,18) (118,19) 1
(119,18) (119,19) 180
(120,18) (120,19) 76
(121,18) (121,19) 133
(122,18) (122,19) 100
(123,18) (123,19) 94
(124,18) (124,19) 17
(125,18) (125,19) 70
(126,18) (126,19) 19
(127,18) (127,19) 189
(128,18) (128,19) 105
(129,18) (129,19) 26
(130,18) (130,19) 63
(131,18) (131,19) 55
(132,18) (132,19) 83
(133,18) (133,19) 137
(134,18) (134,19) 104
(135,18) (135,19) 67
(136,18) (136,19) 149
(137,18) (137,19) 32
(138,18) (138,19) 145
(139,18) (139,19) 127
(140,18) (140,19) 157
(141,18) (141,19) 90
(142,18) (142,19) 72
(143,18) (143,19) 58
(144,18) (144,19) 187
(145,18) (145,19) 38
(146,18) (146,19) 53
(147,18) (147,19) 134
(148,18) (148,19) 106
(149,18) (149,19) 164
(150,18) (150,19) 115
(1,19) (1,20) 46
(2,19) (2,20) 194
(3,19) (3,20) 17
(4,19) (4,20) 120
(5,19) (5,20) 94
(6,19) (6,20) 131
(7,19) (7,20) 139
(8,19) (8,20) 21
(9,19) (9,20) 151
(10,19) (10,20) 191
(11,19) (11,20) 110
(12,19) (12,20) 18
(13,19) (13,20) 49
(14,19) (14,20) 76
(15,19) (15,20) 172
(16,19) (16,20) 114
(17,19) (17,20) 123
(18,19) (18,20) 188
(19,19) (19,20) 155
(20,19) (20,20) 93
(21,19) (21,20) 198
(22,19) (22,20) 92
(23,19) (23,20) 120
(24,19) (24,20) 24
(25,19) (25,20) 87
(26,19) (26,20) 142
(27,19) (27,20) 33
(28,19) (28,20) 62
(29,19) (29,20) 124
(30,19) (30,20) 90
(31,19) (31,20) 56
(32,19) (32,20) 121
(33,19) (33,20) 54
(34,19) (34,20) 48
(35,19) (35,20) 84
(36,19) (36,20) 169
(37,19) (37,20) 68
(38,19) (38,20) 27
(39,19) (39,20) 2
(40,19) (40,20) 120
(41,19) (41,20) 136
(42,19) (42,20) 74
(43,19) (43,20) 112
(44,19) (44,20) 183
(45,19) (45,20) 51
(46,19) (46,20) 160
(47,19) (47,20) 90
(48,19) (48,20) 9
(49,19) (49,20) 107
(50,19) (50,20) 134
(51,19) (51,20) 70
(52,19) (52,20) 98
(53,19) (53,20) 13
(54,19) (54,20) 194
(55,19) (55,20) 1
(56,19) (56,20) 171
(57,19) (57,20) 46
(58,19) (58,20) 103
(59,19) (59,20) 44
(60,19) (60,20) 157
(61,19) (61,20) 11
(62,19) (62,20) 160
(63,19) (63,20) 74
(64,19) (64,20) 191
(65,19) (65,20) 64
(66,19) (66,20) 1
(67,19) (67,20) 176
(68,19) (68,20) 198
(69,19) (69,20) 5
(70,19) (70,20) 29
(71,19) (71,20) 79
(72,19) (72,20) 15
(73,19) (73,20) 101
(74,19) (74,20) 126
(75,19) (75,20) 158
(76,19) (76,20) 60
(77,19) (77,20) 16
(78,19) (78,20) 116
(79,19) (79,20) 159
(80,19) (80,20) 25
(81,19) (81,20) 129
(82,19) (82,20) 37
(83,19) (83,20) 28
(84,19) (84,20) 139
(85,19) (85,20) 193
(86,19) (86,20) 61
(87,19) (87,20) 99
(88,19) (88,20) 44
(89,19) (89,20) 26
(90,19) (90,20) 170
(91,19) (91,20) 13
(92,19) (92,20) 13
(93,19) (93,20) 56
(94,19) (94,20) 143
(95,19) (95,20) 92
(96,19) (96,20) 192
(97,19) (97,20) 17
(98,19) (98,20) 43
(99,19) (99,20) 122
(100,19) (100,20) 80
(101,19) (101,20) 142
(102,19) (102,20) 165
(103,19) (103,20) 94
(104,19) (104,20) 159
(105,19) (105,20) 193
(106,19) (106,20) 79
(107,19) (107,20) 138
(108,19) (108,20) 148
(109,19) (109,20) 54
(110,19) (110,20) 4
(111,19) (111,20) 136
(112,19) (112,20) 144
(113,19) (113,20) 198
(114,19) (114,20) 6
(115,19) (115,20) 155
(116,19) (116,20) 27
(117,19) (117,20) 87
(118,19) (118,20) 40
(119,19) (119,20) 193
(120,19) (120,20) 176
(121,19) (121,20) 31
(122,19) (122,20) 109
(123,19) (123,20) 126
(124,19) (124,20) 193
(125,19) (125,20) 159
(126,19) (126,20) 156
(127,19) (127,20) 28
(128,19) (128,20) 104
(129,19) (129,20) 21
(130,19) (130,20) 177
(131,19) (131,20) 126
(132,19) (132,20) 148
(133,19) (133,20) 161
(134,19) (134,20) 169
(135,19) (135,20) 60
(136,19) (136,20) 180
(137,19) (137,20) 145
(138,19) (138,20) 153
(139,19) (139,20) 65
(140,19) (140,20) 139
(141,19) (141,20) 88
(142,19) (142,20) 18
(143,19) (143,20) 168
(144,19) (144,20) 184
(145,19) (145,20) 177
(146,19) (146,20) 29
(147,19) (147,20) 37
(148,19) (148,20) 72
(149,19) (149,20) 193
(150,19) (150,20) 168
(1,20) (1,21) 48
(2,20) (2,21) 147
(3,20) (3,21) 130
(4,20) (4,21) 3
(5,20) (5,21) 147
(6,20) (6,21) 96
(7,20) (7,21) 12
(8,20) (8,21) 66
(9,20) (9,21) 29
(10,20) (10,21) 101
(11,20) (11,21) 55
(12,20) (12,21) 158
(13,20) (13,21) 96
(14,20) (14,21) 7
(15,20) (15,21) 147
(16,20) (16,21) 146
(17,20) (17,21) 4
(18,20) (18,21) 50
(19,20) (19,21) 200
(20,20) (20,21) 103
(21,20) (21,21) 126
(22,20) (22,21) 53
(23,20) (23,21) 2
(24,20) (24,21) 125
(25,20) (25,21) 99
(26,20) (26,21) 110
(27,20) (27,21) 123
(28,20) (28,21) 22
(29,20) (29,21) 103
(30,20) (30,21) 198
(31,20) (31,21) 4
(32,20) (32,21) 8
(33,20) (33,21) 115
(34,20) (34,21) 96
(35,20) (35,21) 111
(36,20) (36,21) 136
(37,20) (37,21) 42
(38,20) (38,21) 51
(39,20) (39,21) 172
(40,20) (40,21) 189
(41,20) (41,21) 196
(42,20) (42,21) 161
(43,20) (43,21) 99
(44,20) (44,21) 120
(45,20) (45,21) 147
(46,20) (46,21) 195
(47,20) (47,21) 65
(48,20) (48,21) 158
(49,20) (49,21) 179
(50,20) (50,21) 12
(51,20) (51,21) 91
(52,20) (52,21) 55
(53,20) (53,21) 55
(54,20) (54,21) 183
(55,20) (55,21) 47
(56,20) (56,21) 142
(57,20) (57,21) 94
(58,20) (58,21) 141
(59,20) (59,21) 35
(60,20) (60,21) 101
(61,20) (61,21) 189
(62,20) (62,21) 111
(63,20) (63,21) 93
(64,20) (64,21) 37
(65,20) (65,21) 174
(66,20) (66,21) 172
(67,20) (67,21) 145
(68,20) (68,21) 135
(69,20) (69,21) 141
(70,20) (70,21) 159
(71,20) (71,21) 185
(72,20) (72,21) 178
(73,20) (73,21) 155
(74,20) (74,21) 17
(75,20) (75,21) 70
(76,20) (76,21) 105
(77,20) (77,21) 20
(78,20) (78,21) 150
(79,20) (79,21) 61
(80,20) (80,21) 56
(81,20) (81,21) 27
(82,20) (82,21) 87
(83,20) (83,21) 117
(84,20) (84,21) 43
(85,20) (85,21) 38
(86,20) (86,21) 139
(87,20) (87,21) 149
(88,20) (88,21) 99
(89,20) (89,21) 44
(90,20) (90,21) 106
(91,20) (91,21) 99
(92,20) (92,21) 54
(93,20) (93,21) 42
(94,20) (94,21) 112
(95,20) (95,21) 62
(96,20) (96,21) 186
(97,20) (97,21) 69
(98,20) (98,21) 99
(99,20) (99,21) 125
(100,20) (100,21) 78
(101,20) (101,21) 17
(102,20) (102,21) 9
(103,20) (103,21) 40
(104,20) (104,21) 60
(105,20) (105,21) 184
(106,20) (106,21) 192
(107,20) (107,21) 180
(108,20) (108,21) 127
(109,20) (109,21) 87
(110,20) (110,21) 67
(111,20) (111,21) 181
(112,20) (112,21) 181
(113,20) (113,21) 2
(114,20) (114,21) 70
(115,20) (115,21) 123
(116,20) (116,21) 49
(117,20) (117,21) 200
(118,20) (118,21) 103
(119,20) (119,21) 159
(120,20) (120,21) 120
(121,20) (121,21) 121
(122,20) (122,21) 89
(123,20) (123,21) 7
(124,20) (124,21) 181
(125,20) (125,21) 107
(126,20) (126,21) 118
(127,20) (127,21) 101
(128,20) (128,21) 107
(129,20) (129,21) 132
(130,20) (130,21) 16
(131,20) (131,21) 150
(132,20) (132,21) 151
(133,20) (133,21) 82
(134,20) (134,21) 44
(135,20) (135,21) 78
(136,20) (136,21) 96
(137,20) (137,21) 127
(138,20) (138,21) 43
(139,20) (139,21) 64
(140,20) (140,21) 84
(141,20) (141,21) 72
(142,20) (142,21) 94
(143,20) (143,21) 155
(144,20) (144,21) 176
(145,20) (145,21) 4
(146,20) (146,21) 110
(147,20) (147,21) 113
(148,20) (148,21) 99
(149,20) (149,21) 185
(150,20) (150,21) 14
(1,21) (1,22) 161
(2,21) (2,22) 96
(3,21) (3,22) 65
(4,21) (4,22) 69
(5,21) (5,22) 164
(6,21) (6,22) 118
(7,21) (7,22) 165
(8,21) (8,22) 180
(9,21) (9,22) 60
(10,21) (10,22) 125
(11,21) (11,22) 8
(12,21) (12,22) 144
(13,21) (13,22) 33
(14,21) (14,22) 151
(15,21) (15,22) 188
(16,21) (16,22) 172
(17,21) (17,22) 13
(18,21) (18,22) 121
(19,21) (19,22) 2
(20,21) (20,22) 158
(21,21) (21,22) 71
(22,21) (22,22) 173
(23,21) (23,22) 58
(24,21) (24,22) 140
(25,21) (25,22) 77
(26,21) (26,22) 101
(27,21) (27,22) 83
(28,21) (28,22) 35
(29,21) (29,22) 42
(30,21) (30,22) 46
(31,21) (31,22) 44
(32,21) (32,22) 84
(33,21) (33,22) 199
(34,21) (34,22) 63
(35,21) (35,22) 137
(36,21) (36,22) 99
(37,21) (37,22) 54
(38,21) (38,22) 52
(39,21) (39,22) 137
(40,21) (40,22) 141
(41,21) (41,22) 17
(42,21) (42,22) 195
(43,21) (43,22) 52
(44,21) (44,22) 30
(45,21) (45,22) 105
(46,21) (46,22) 10
(47,21) (47,22) 130
(48,21) (48,22) 5
(49,21) (49,22) 131
(50,21) (50,22) 59
(51,21) (51,22) 135
(52,21) (52,22) 124
(53,21) (53,22) 76
(54,21) (54,22) 190
(55,21) (55,22) 11
(56,21) (56,22) 119
(57,21) (57,22) 109
(58,21) (58,22) 65
(59,21) (59,22) 149
(60,21) (60,22) 96
(61,21) (61,22) 66
(62,21) (62,22) 78
(63,21) (63,22) 79
(64,21) (64,22) 149
(65,21) (65,22) 165
(66,21) (66,22) 9
(67,21) (67,22) 132
(68,21) (68,22) 183
(69,21) (69,22) 8
(70,21) (70,22) 61
(71,21) (71,22) 102
(72,21) (72,22) 64
(73,21) (73,22) 63
(74,21) (74,22) 98
(75,21) (75,22) 29
(76,21) (76,22) 56
(77,21) (77,22) 195
(78,21) (78,22) 124
(79,21) (79,22) 130
(80,21) (80,22) 43
(81,21) (81,22) 186
(82,21) (82,22) 131
(83,21) (83,22) 41
(84,21) (84,22) 130
(85,21) (85,22) 108
(86,21) (86,22) 75
(87,21) (87,22) 21
(88,21) (88,22) 189
(89,21) (89,22) 161
(90,21) (90,22) 120
(91,21) (91,22) 77
(92,21) (92,22) 178
(93,21) (93,22) 134
(94,21) (94,22) 95
(95,21) (95,22) 100
(96,21) (96,22) 125
(97,21) (97,22) 87
(98,21) (98,22) 179
(99,21) (99,22) 158
(100,21) (100,22) 148
(101,21) (101,22) 198
(102,21) (102,22) 27
(103,21) (103,22) 127
(104,21) (104,22) 54
(105,21) (105,22) 137
(106,21) (106,22) 37
(107,21) (107,22) 158
(108,21) (108,22) 31
(109,21) (109,22) 18
(110,21) (110,22) 9
(111,21) (111,22) 22
(112,21) (112,22) 2
(113,21) (113,22) 168
(114,21) (114,22) 164
(115,21) (115,22) 101
(116,21) (116,22) 140
(117,21) (117,22) 90
(118,21) (118,22) 112
(119,21) (119,22) 196
(120,21) (120,22) 97
(121,21) (121,22) 92
(122,21) (122,22) 4
(123,21) (123,22) 23
(124,21) (124,22) 109
(125,21) (125,22) 186
(126,21) (126,22) 173
(127,21) (127,22) 80
(128,21) (128,22) 121
(129,21) (129,22) 121
(130,21) (130,22) 73
(131,21) (131,22) 60
(132,21) (132,22) 47
(133,21) (133,22) 197
(134,21) (134,22) 59
(135,21) (135,22) 199
(136,21) (136,22) 108
(137,21) (137,22) 141
(138,21) (138,22) 96
(139,21) (139,22) 187
(140,21) (140,22) 10
(141,21) (141,22) 115
(142,21) (142,22) 197
(143,21) (143,22) 27
(144,21) (144,22) 127
(145,21) (145,22) 143
(146,21) (146,22) 75
(147,21) (147,22) 101
(148,21) (148,22) 13
(149,21) (149,22) 59
(150,21) (150,22) 56
(1,22) (1,23) 102
(2,22) (2,23) 103
(3,22) (3,23) 113
(4,22) (4,23) 163
(5,22) (5,23) 192
(6,22) (6,23) 44
(7,22) (7,23) 89
(8,22) (8,23) 188
(9,22) (9,23) 167
(10,22) (10,23) 99
(11,22) (11,23) 143
(12,22) (12,23) 70
(13,22) (13,23) 73
(14,22) (14,23) 180
(15,22) (15,23) 81
(16,22) (16,23) 170
(17,22) (17,23) 99
(18,22) (18,23) 55
(19,22) (19,23) 70
(20,22) (20,23) 120
(21,22) (21,23) 64
(22,22) (22,23) 123
(23,22) (23,23) 161
(24,22) (24,23) 84
(25,22) (25,23) 76
(26,22) (26,23) 197
(27,22) (27,23) 189
(28,22) (28,23) 123
(29,22) (29,23) 151
(30,22) (30,23) 186
(31,22) (31,23) 43
(32,22) (32,23) 177
(33,22) (33,23) 190
(34,22) (34,23) 75
(35,22) (35,23) 150
(36,22) (36,23) 9
(37,22) (37,23) 43
(38,22) (38,23) 5
(39,22) (39,23) 88
(40,22) (40,23) 184
(41,22) (41,23) 12
(42,22) (42,23) 145
(43,22) (43,23) 197
(44,22) (44,23) 70
(45,22) (45,23) 161
(46,22) (46,23) 166
(47,22) (47,23) 165
(48,22) (48,23) 194
(49,22) (49,23) 151
(50,22) (50,23) 121
(51,22) (51,23) 151
(52,22) (52,23) 16
(53,22) (53,23) 105
(54,22) (54,23) 143
(55,22) (55,23) 193
(56,22) (56,23) 146
(57,22) (57,23) 79
(58,22) (58,23) 71
(59,22) (59,23) 68
(60,22) (60,23) 153
(61,22) (61,23) 158
(62,22) (62,23) 7
(63,22) (63,23) 100
(64,22) (64,23) 174
(65,22) (65,23) 199
(66,22) (66,23) 105
(67,22) (67,23) 126
(68,22) (68,23) 65
(69,22) (69,23) 132
(70,22) (70,23) 137
(71,22) (71,23) 82
(72,22) (72,23) 156
(73,22) (73,23) 44
(74,22) (74,23) 30
(75,22) (75,23) 31
(76,22) (76,23) 110
(77,22) (77,23) 192
(78,22) (78,23) 114
(79,22) (79,23) 102
(80,22) (80,23) 48
(81,22) (81,23) 14
(82,22) (82,23) 192
(83,22) (83,23) 102
(84,22) (84,23) 141
(85,22) (85,23) 187
(86,22) (86,23) 74
(87,22) (87,23) 78
(88,22) (88,23) 2
(89,22) (89,23) 174
(90,22) (90,23) 19
(91,22) (91,23) 42
(92,22) (92,23) 64
(93,22) (93,23) 191
(94,22) (94,23) 31
(95,22) (95,23) 101
(96,22) (96,23) 106
(97,22) (97,23) 38
(98,22) (98,23) 93
(99,22) (99,23) 13
(100,22) (100,23) 47
(101,22) (101,23) 24
(102,22) (102,23) 119
(103,22) (103,23) 83
(104,22) (104,23) 14
(105,22) (105,23) 147
(106,22) (106,23) 86
(107,22) (107,23) 113
(108,22) (108,23) 17
(109,22) (109,23) 51
(110,22) (110,23) 132
(111,22) (111,23) 127
(112,22) (112,23) 160
(113,22) (113,23) 118
(114,22) (114,23) 135
(115,22) (115,23) 14
(116,22) (116,23) 90
(117,22) (117,23) 145
(118,22) (118,23) 159
(119,22) (119,23) 157
(120,22) (120,23) 130
(121,22) (121,23) 190
(122,22) (122,23) 157
(123,22) (123,23) 66
(124,22) (124,23) 60
(125,22) (125,23) 61
(126,22) (126,23) 7
(127,22) (127,23) 192
(128,22) (128,23) 58
(129,22) (129,23) 182
(130,22) (130,23) 4
(131,22) (131,23) 166
(132,22) (132,23) 72
(133,22) (133,23) 121
(134,22) (134,23) 137
(135,22) (135,23) 129
(136,22) (136,23) 64
(137,22) (137,23) 117
(138,22) (138,23) 125
(139,22) (139,23) 160
(140,22) (140,23) 171
(141,22) (141,23) 21
(142,22) (142,23) 71
(143,22) (143,23) 77
(144,22) (144,23) 189
(145,22) (145,23) 73
(146,22) (146,23) 138
(147,22) (147,23) 43
(148,22) (148,23) 180
(149,22) (149,23) 104
(150,22) (150,23) 19
(1,23) (1,24) 154
(2,23) (2,24) 92
(3,23) (3,24) 90
(4,23) (4,24) 143
(5,23) (5,24) 39
(6,23) (6,24) 121
(7,23) (7,24) 164
(8,23) (8,24) 187
(9,23) (9,24) 57
(10,23) (10,24) 99
(11,23) (11,24) 5
(12,23) (12,24) 49
(13,23) (13,24) 159
(14,23) (14,24) 119
(15,23) (15,24) 109
(16,23) (16,24) 35
(17,23) (17,24) 141
(18,23) (18,24) 80
(19,23) (19,24) 38
(20,23) (20,24) 16
(21,23) (21,24) 54
(22,23) (22,24) 49
(23,23) (23,24) 178
(24,23) (24,24) 88
(25,23) (25,24) 187
(26,23) (26,24) 173
(27,23) (27,24) 36
(28,23) (28,24) 102
(29,23) (29,24) 153
(30,23) (30,24) 85
(31,23) (31,24) 10
(32,23) (32,24) 113
(33,23) (33,24) 32
(34,23) (34,24) 126
(35,23) (35,24) 112
(36,23) (36,24) 102
(37,23) (37,24) 135
(38,23) (38,24) 109
(39,23) (39,24) 64
(40,23) (40,24) 134
(41,23) (41,24) 181
(42,23) (42,24) 31
(43,23) (43,24) 173
(44,23) (44,24) 184
(45,23) (45,24) 155
(46,23) (46,24) 57
(47,23) (47,24) 24
(48,23) (48,24) 107
(49,23) (49,24) 142
(50,23) (50,24) 184
(51,23) (51,24) 153
(52,23) (52,24) 65
(53,23) (53,24) 136
(54,23) (54,24) 46
(55,23) (55,24) 135
(56,23) (56,24) 163
(57,23) (57,24) 70
(58,23) (58,24) 155
(59,23) (59,24) 90
(60,23) (60,24) 37
(61,23) (61,24) 172
(62,23) (62,24) 20
(63,23) (63,24) 37
(64,23) (64,24) 70
(65,23) (65,24) 19
(66,23) (66,24) 154
(67,23) (67,24) 50
(68,23) (68,24) 111
(69,23) (69,24) 13
(70,23) (70,24) 161
(71,23) (71,24) 134
(72,23) (72,24) 85
(73,23) (73,24) 32
(74,23) (74,24) 155
(75,23) (75,24) 35
(76,23) (76,24) 133
(77,23) (77,24) 142
(78,23) (78,24) 65
(79,23) (79,24) 156
(80,23) (80,24) 155
(81,23) (81,24) 102
(82,23) (82,24) 173
(83,23) (83,24) 67
(84,23) (84,24) 46
(85,23) (85,24) 170
(86,23) (86,24) 127
(87,23) (87,24) 102
(88,23) (88,24) 3
(89,23) (89,24) 177
(90,23) (90,24) 106
(91,23) (91,24) 193
(92,23) (92,24) 181
(93,23) (93,24) 55
(94,23) (94,24) 66
(95,23) (95,24) 101
(96,23) (96,24) 150
(97,23) (97,24) 145
(98,23) (98,24) 197
(99,23) (99,24) 93
(100,23) (100,24) 189
(101,23) (101,24) 29
(102,23) (102,24) 139
(103,23) (103,24) 169
(104,23) (104,24) 12
(105,23) (105,24) 61
(106,23) (106,24) 51
(107,23) (107,24) 115
(108,23) (108,24) 76
(109,23) (109,24) 92
(110,23) (110,24) 195
(111,23) (111,24) 183
(112,23) (112,24) 79
(113,23) (113,24) 153
(114,23) (114,24) 99
(115,23) (115,24) 16
(116,23) (116,24) 178
(117,23) (117,24) 193
(118,23) (118,24) 71
(119,23) (119,24) 14
(120,23) (120,24) 45
(121,23) (121,24) 129
(122,23) (122,24) 64
(123,23) (123,24) 179
(124,23) (124,24) 57
(125,23) (125,24) 104
(126,23) (126,24) 101
(127,23) (127,24) 196
(128,23) (128,24) 180
(129,23) (129,24) 83
(130,23) (130,24) 67
(131,23) (131,24) 85
(132,23) (132,24) 60
(133,23) (133,24) 147
(134,23) (134,24) 190
(135,23) (135,24) 133
(136,23) (136,24) 14
(137,23) (137,24) 129
(138,23) (138,24) 83
(139,23) (139,24) 97
(140,23) (140,24) 121
(141,23) (141,24) 81
(142,23) (142,24) 60
(143,23) (143,24) 124
(144,23) (144,24) 44
(145,23) (145,24) 44
(146,23) (146,24) 46
(147,23) (147,24) 132
(148,23) (148,24) 169
(149,23) (149,24) 23
(150,23) (150,24) 155
(1,24) (1,25) 96
(2,24) (2,25) 197
(3,24) (3,25) 97
(4,24) (4,25) 63
(5,24) (5,25) 29
(6,24) (6,25) 12
(7,24) (7,25) 194
(8,24) (8,25) 121
(9,24) (9,25) 48
(10,24) (10,25) 110
(11,24) (11,25) 119
(12,24) (12,25) 48
(13,24) (13,25) 6
(14,24) (14,25) 136
(15,24) (15,25) 3
(16,24) (16,25) 103
(17,24) (17,25) 167
(18,24) (18,25) 128
(19,24) (19,25) 135
(20,24) (20,25) 15
(21,24) (21,25) 176
(22,24) (22,25) 33
(23,24) (23,25) 153
(24,24) (24,25) 7
(25,24) (25,25) 80
(26,24) (26,25) 198
(27,24) (27,25) 194
(28,24) (28,25) 18
(29,24) (29,25) 130
(30,24) (30,25) 47
(31,24) (31,25) 73
(32,24) (32,25) 134
(33,24) (33,25) 10
(34,24) (34,25) 174
(35,24) (35,25) 182
(36,24) (36,25) 196
(37,24) (37,25) 155
(38,24) (38,25) 101
(39,24) (39,25) 161
(40,24) (40,25) 17
(41,24) (41,25) 180
(42,24) (42,25) 37
(43,24) (43,25) 161
(44,24) (44,25) 24
(45,24) (45,25) 163
(46,24) (46,25) 109
(47,24) (47,25) 56
(48,24) (48,25) 169
(49,24) (49,25) 169
(50,24) (50,25) 181
(51,24) (51,25) 75
(52,24) (52,25) 58
(53,24) (53,25) 86
(54,24) (54,25) 190
(55,24) (55,25) 16
(56,24) (56,25) 193
(57,24) (57,25) 141
(58,24) (58,25) 65
(59,24) (59,25) 96
(60,24) (60,25) 59
(61,24) (61,25) 96
(62,24) (62,25) 160
(63,24) (63,25) 68
(64,24) (64,25) 156
(65,24) (65,25) 150
(66,24) (66,25) 85
(67,24) (67,25) 116
(68,24) (68,25) 51
(69,24) (69,25) 89
(70,24) (70,25) 77
(71,24) (71,25) 49
(72,24) (72,25) 41
(73,24) (73,25) 188
(74,24) (74,25) 32
(75,24) (75,25) 164
(76,24) (76,25) 135
(77,24) (77,25) 169
(78,24) (78,25) 199
(79,24) (79,25) 184
(80,24) (80,25) 57
(81,24) (81,25) 105
(82,24) (82,25) 123
(83,24) (83,25) 11
(84,24) (84,25) 34
(85,24) (85,25) 5
(86,24) (86,25) 118
(87,24) (87,25) 154
(88,24) (88,25) 61
(89,24) (89,25) 89
(90,24) (90,25) 80
(91,24) (91,25) 10
(92,24) (92,25) 197
(93,24) (93,25) 168
(94,24) (94,25) 57
(95,24) (95,25) 138
(96,24) (96,25) 130
(97,24) (97,25) 51
(98,24) (98,25) 93
(99,24) (99,25) 149
(100,24) (100,25) 144
(101,24) (101,25) 42
(102,24) (102,25) 1
(103,24) (103,25) 111
(104,24) (104,25) 134
(105,24) (105,25) 101
(106,24) (106,25) 1
(107,24) (107,25) 37
(108,24) (108,25) 24
(109,24) (109,25) 68
(110,24) (110,25) 195
(111,24) (111,25) 158
(112,24) (112,25) 178
(113,24) (113,25) 187
(114,24) (114,25) 75
(115,24) (115,25) 104
(116,24) (116,25) 97
(117,24) (117,25) 33
(118,24) (118,25) 180
(119,24) (119,25) 171
(120,24) (120,25) 199
(121,24) (121,25) 64
(122,24) (122,25) 112
(123,24) (123,25) 75
(124,24) (124,25) 123
(125,24) (125,25) 47
(126,24) (126,25) 45
(127,24) (127,25) 161
(128,24) (128,25) 115
(129,24) (129,25) 2
(130,24) (130,25) 92
(131,24) (131,25) 200
(132,24) (132,25) 119
(133,24) (133,25) 27
(134,24) (134,25) 102
(135,24) (135,25) 165
(136,24) (136,25) 131
(137,24) (137,25) 130
(138,24) (138,25) 101
(139,24) (139,25) 183
(140,24) (140,25) 33
(141,24) (141,25) 48
(142,24) (142,25) 76
(143,24) (143,25) 14
(144,24) (144,25) 120
(145,24) (145,25) 17
(146,24) (146,25) 188
(147,24) (147,25) 33
(148,24) (148,25) 197
(149,24) (149,25) 200
(150,24) (150,25) 108
(1,1) (2,1) 127
(2,1) (1,1) 132
(2,1) (3,1) 164
(3,1) (2,1) 21
(3,1) (4,1) 199
(4,1) (3,1) 131
(4,1) (5,1) 144
(5,1) (4,1) 79
(5,1) (6,1) 59
(6,1) (5,1) 83
(6,1) (7,1) 25
(7,1) (6,1) 59
(7,1) (8,1) 167
(8,1) (7,1) 140
(8,1) (9,1) 192
(9,1) (8,1) 199
(9,1) (10,1) 168
(10,1) (9,1) 132
(10,1) (11,1) 111
(11,1) (10,1) 167
(11,1) (12,1) 167
(12,1) (11,1) 68
(12,1) (13,1) 160
(13,1) (12,1) 118
(13,1) (14,1) 108
